task,regime,split,difficulty,stress,tail,contact,embodiment,shortcut,horizon,scarcity,latency,alias,hazard
contact_insertion,occluded_precondition,combined_exception_stress,0.07,0.86,0.488152,0.48116,0.200448,0.454096,0.269368,0.348664,0.27084,0.334944,0.5162
contact_insertion,embodiment_mismatch,nominal_scaling,0.07,0.12,0.298944,0.333595,0.347628,0.296624,0.109348,0.255093,0.181152,0.222112,0.3744
contact_insertion,embodiment_mismatch,contact_tail_shift,0.07,0.56,0.549504,0.588395,0.39956,0.32216,0.170796,0.352725,0.220032,0.27632,0.5328
contact_insertion,embodiment_mismatch,embodiment_shift,0.07,0.6,0.424224,0.470203,0.636964,0.339184,0.177408,0.368141,0.231696,0.296032,0.5472
contact_insertion,embodiment_mismatch,shortcut_shift,0.07,0.56,0.420336,0.465074,0.421816,0.462608,0.169183,0.342448,0.220032,0.37488,0.5328
contact_insertion,embodiment_mismatch,recovery_scarcity,0.07,0.62,0.482328,0.526385,0.473748,0.36472,0.19402,0.460635,0.247248,0.310816,0.5544
contact_insertion,embodiment_mismatch,cross_robot_morphology,0.07,0.66,0.458136,0.504705,0.651802,0.373232,0.185311,0.378418,0.293904,0.320672,0.5688
contact_insertion,embodiment_mismatch,heldout_exception_composition,0.07,0.74,0.527688,0.573941,0.570194,0.432816,0.199342,0.414388,0.30168,0.389664,0.5976
contact_insertion,embodiment_mismatch,combined_exception_stress,0.07,0.86,0.573048,0.621498,0.614707,0.454096,0.217567,0.450358,0.325008,0.409376,0.6408
contact_insertion,long_horizon_compounding,nominal_scaling,0.07,0.12,0.343232,0.29055,0.1587,0.275632,0.239524,0.34561,0.241536,0.20192,0.3536
contact_insertion,long_horizon_compounding,contact_tail_shift,0.07,0.56,0.630912,0.512473,0.182408,0.29848,0.374124,0.477886,0.293376,0.2512,0.5032
contact_insertion,long_horizon_compounding,embodiment_shift,0.07,0.6,0.487072,0.409532,0.290788,0.313712,0.388608,0.498772,0.308928,0.26912,0.5168
contact_insertion,long_horizon_compounding,shortcut_shift,0.07,0.56,0.482608,0.405065,0.192568,0.424144,0.370591,0.463962,0.293376,0.3408,0.5032
contact_insertion,long_horizon_compounding,recovery_scarcity,0.07,0.62,0.553784,0.458464,0.216276,0.33656,0.424996,0.624086,0.329664,0.28256,0.5236
contact_insertion,long_horizon_compounding,cross_robot_morphology,0.07,0.66,0.526008,0.439582,0.297562,0.344176,0.405919,0.512696,0.391872,0.29152,0.5372
contact_insertion,long_horizon_compounding,heldout_exception_composition,0.07,0.74,0.605864,0.499884,0.260306,0.397488,0.436654,0.561429,0.40224,0.35424,0.5644
contact_insertion,long_horizon_compounding,combined_exception_stress,0.07,0.86,0.657944,0.541305,0.280627,0.416528,0.476575,0.610163,0.433344,0.37216,0.6052
contact_insertion,spurious_visual_shortcut,nominal_scaling,0.07,0.12,0.287872,0.182939,0.136028,0.590512,0.114555,0.189262,0.140896,0.35336,0.2912
contact_insertion,spurious_visual_shortcut,contact_tail_shift,0.07,0.56,0.529152,0.322668,0.156349,0.65368,0.178929,0.2617,0.171136,0.4396,0.4144
contact_insertion,spurious_visual_shortcut,embodiment_shift,0.07,0.6,0.408512,0.257853,0.249247,0.695792,0.185856,0.273137,0.180208,0.47096,0.4256
contact_insertion,spurious_visual_shortcut,shortcut_shift,0.07,0.56,0.404768,0.255041,0.165059,1.001104,0.177239,0.254075,0.171136,0.5964,0.4144
contact_insertion,spurious_visual_shortcut,recovery_scarcity,0.07,0.62,0.464464,0.288663,0.18538,0.75896,0.203259,0.341762,0.192304,0.49448,0.4312
contact_insertion,spurious_visual_shortcut,cross_robot_morphology,0.07,0.66,0.441168,0.276774,0.255053,0.780016,0.194135,0.280762,0.228592,0.51016,0.4424
contact_insertion,spurious_visual_shortcut,heldout_exception_composition,0.07,0.74,0.508144,0.314742,0.223119,0.927408,0.208835,0.307449,0.23464,0.61992,0.4648
contact_insertion,spurious_visual_shortcut,combined_exception_stress,0.07,0.86,0.551824,0.340821,0.240538,0.980048,0.227927,0.334137,0.252784,0.65128,0.4984
contact_insertion,recovery_scarce_failure,nominal_scaling,0.07,0.12,0.398592,0.365878,0.188928,0.30712,0.19266,0.386754,0.211344,0.232208,0.4056
contact_insertion,recovery_scarce_failure,contact_tail_shift,0.07,0.56,0.732672,0.645336,0.217152,0.334,0.300925,0.534777,0.256704,0.28888,0.5772
contact_insertion,recovery_scarce_failure,embodiment_shift,0.07,0.6,0.565632,0.515707,0.346176,0.35192,0.312576,0.558149,0.270312,0.309488,0.5928
contact_insertion,recovery_scarce_failure,shortcut_shift,0.07,0.56,0.560448,0.510082,0.229248,0.48184,0.298084,0.519196,0.256704,0.39192,0.5772
contact_insertion,recovery_scarce_failure,recovery_scarcity,0.07,0.62,0.643104,0.577325,0.257472,0.3788,0.341844,0.698382,0.288456,0.324944,0.6006
contact_insertion,recovery_scarce_failure,cross_robot_morphology,0.07,0.66,0.610848,0.553547,0.35424,0.38776,0.3265,0.573731,0.342888,0.335248,0.6162
contact_insertion,recovery_scarce_failure,heldout_exception_composition,0.07,0.74,0.703584,0.629484,0.309888,0.45048,0.351222,0.628266,0.35196,0.407376,0.6474
contact_insertion,recovery_scarce_failure,combined_exception_stress,0.07,0.86,0.764064,0.681643,0.33408,0.47288,0.383332,0.682801,0.379176,0.427984,0.6942
contact_insertion,distribution_mixture_aliasing,nominal_scaling,0.07,0.12,0.365376,0.29055,0.204042,0.506544,0.156211,0.288008,0.20128,0.474512,0.364
contact_insertion,distribution_mixture_aliasing,contact_tail_shift,0.07,0.56,0.671616,0.512473,0.234524,0.55896,0.243994,0.398238,0.24448,0.59032,0.518
contact_insertion,distribution_mixture_aliasing,embodiment_shift,0.07,0.6,0.518496,0.409532,0.37387,0.593904,0.25344,0.415643,0.25744,0.632432,0.532
contact_insertion,distribution_mixture_aliasing,shortcut_shift,0.07,0.56,0.513744,0.405065,0.247588,0.847248,0.24169,0.386635,0.24448,0.80088,0.518
contact_insertion,distribution_mixture_aliasing,recovery_scarcity,0.07,0.62,0.589512,0.458464,0.27807,0.64632,0.277171,0.520072,0.27472,0.664016,0.539
contact_insertion,distribution_mixture_aliasing,cross_robot_morphology,0.07,0.66,0.559944,0.439582,0.382579,0.663792,0.26473,0.427246,0.32656,0.685072,0.553
contact_insertion,distribution_mixture_aliasing,heldout_exception_composition,0.07,0.74,0.644952,0.499884,0.334679,0.786096,0.284774,0.467858,0.3352,0.832464,0.581
contact_insertion,distribution_mixture_aliasing,combined_exception_stress,0.07,0.86,0.700392,0.541305,0.360806,0.829776,0.31081,0.508469,0.36112,0.874576,0.623
contact_insertion,actuator_latency_shift,nominal_scaling,0.07,0.12,0.321088,0.419684,0.264499,0.275632,0.171832,0.27155,0.462944,0.212016,0.3952
contact_insertion,actuator_latency_shift,contact_tail_shift,0.07,0.56,0.590208,0.740239,0.304013,0.29848,0.268393,0.375482,0.562304,0.26376,0.5624
contact_insertion,actuator_latency_shift,embodiment_shift,0.07,0.6,0.455648,0.591546,0.484646,0.313712,0.278784,0.391892,0.592112,0.282576,0.5776
contact_insertion,actuator_latency_shift,shortcut_shift,0.07,0.56,0.451472,0.585094,0.320947,0.424144,0.265859,0.364542,0.562304,0.35784,0.5624
contact_insertion,actuator_latency_shift,recovery_scarcity,0.07,0.62,0.518056,0.662226,0.360461,0.33656,0.304888,0.490354,0.631856,0.296688,0.5852
contact_insertion,actuator_latency_shift,cross_robot_morphology,0.07,0.66,0.492072,0.634951,0.495936,0.344176,0.291203,0.402832,0.751088,0.306096,0.6004
contact_insertion,actuator_latency_shift,heldout_exception_composition,0.07,0.74,0.566776,0.722055,0.433843,0.397488,0.313252,0.441123,0.77096,0.371952,0.6308
contact_insertion,actuator_latency_shift,combined_exception_stress,0.07,0.86,0.615496,0.781884,0.467712,0.416528,0.341891,0.479413,0.830576,0.390768,0.6764
contact_insertion,mixed_exception_stress,nominal_scaling,0.07,0.12,0.487168,0.451967,0.302285,0.527536,0.223903,0.362067,0.412624,0.424032,0.468
contact_insertion,mixed_exception_stress,contact_tail_shift,0.07,0.56,0.895488,0.79718,0.347443,0.58264,0.349724,0.500643,0.501184,0.52752,0.666
contact_insertion,mixed_exception_stress,embodiment_shift,0.07,0.6,0.691328,0.637049,0.553882,0.619376,0.363264,0.522523,0.527752,0.565152,0.684
contact_insertion,mixed_exception_stress,shortcut_shift,0.07,0.56,0.684992,0.630101,0.366797,0.885712,0.346422,0.486056,0.501184,0.71568,0.666
contact_insertion,mixed_exception_stress,recovery_scarcity,0.07,0.62,0.786016,0.713167,0.411955,0.67448,0.397279,0.653805,0.563176,0.593376,0.693
contact_insertion,mixed_exception_stress,cross_robot_morphology,0.07,0.66,0.746592,0.683794,0.566784,0.692848,0.379446,0.53711,0.669448,0.612192,0.711
contact_insertion,mixed_exception_stress,heldout_exception_composition,0.07,0.74,0.859936,0.777598,0.495821,0.821424,0.408177,0.588164,0.68716,0.743904,0.747
contact_insertion,mixed_exception_stress,combined_exception_stress,0.07,0.86,0.933856,0.842029,0.534528,0.867344,0.445494,0.639218,0.740296,0.781536,0.801
deformable_handling,rare_contact_tail,nominal_scaling,0.08,0.12,0.509312,0.432734,0.110208,0.23096,0.132129,0.277333,0.130832,0.111056,0.416
deformable_handling,rare_contact_tail,contact_tail_shift,0.08,0.56,0.936192,0.763258,0.126672,0.2444,0.206378,0.383477,0.158912,0.13816,0.592
deformable_handling,rare_contact_tail,embodiment_shift,0.08,0.6,0.722752,0.609941,0.201936,0.25336,0.214368,0.400237,0.167336,0.148016,0.608
deformable_handling,rare_contact_tail,shortcut_shift,0.08,0.56,0.716128,0.603288,0.133728,0.31832,0.204429,0.372304,0.158912,0.18744,0.592
deformable_handling,rare_contact_tail,recovery_scarcity,0.08,0.62,0.821744,0.682819,0.150192,0.2668,0.234441,0.500795,0.178568,0.155408,0.616
deformable_handling,rare_contact_tail,cross_robot_morphology,0.08,0.66,0.780528,0.654696,0.20664,0.27128,0.223917,0.41141,0.212264,0.160336,0.632
deformable_handling,rare_contact_tail,heldout_exception_composition,0.08,0.74,0.899024,0.744509,0.180768,0.30264,0.240872,0.450516,0.21788,0.194832,0.664
deformable_handling,rare_contact_tail,combined_exception_stress,0.08,0.86,0.976304,0.806198,0.19488,0.31384,0.262893,0.489622,0.234728,0.204688,0.712
deformable_handling,occluded_precondition,nominal_scaling,0.08,0.12,0.254656,0.230792,0.110208,0.325424,0.163588,0.229517,0.15096,0.181728,0.3016
deformable_handling,occluded_precondition,contact_tail_shift,0.08,0.56,0.468096,0.407071,0.126672,0.35096,0.255516,0.317361,0.18336,0.22608,0.4292
deformable_handling,occluded_precondition,embodiment_shift,0.08,0.6,0.361376,0.325302,0.201936,0.367984,0.265408,0.331231,0.19308,0.242208,0.4408
deformable_handling,occluded_precondition,shortcut_shift,0.08,0.56,0.358064,0.321754,0.133728,0.491408,0.253103,0.308114,0.18336,0.30672,0.4292
deformable_handling,occluded_precondition,recovery_scarcity,0.08,0.62,0.410872,0.36417,0.150192,0.39352,0.29026,0.414451,0.20604,0.254304,0.4466
deformable_handling,occluded_precondition,cross_robot_morphology,0.08,0.66,0.390264,0.349171,0.20664,0.402032,0.277231,0.340477,0.24492,0.262368,0.4582
deformable_handling,occluded_precondition,heldout_exception_composition,0.08,0.74,0.449512,0.397071,0.180768,0.461616,0.298222,0.372841,0.2514,0.318816,0.4814
deformable_handling,occluded_precondition,combined_exception_stress,0.08,0.86,0.488152,0.429972,0.19488,0.482896,0.325487,0.405204,0.27084,0.334944,0.5162
deformable_handling,embodiment_mismatch,nominal_scaling,0.08,0.12,0.298944,0.298106,0.337971,0.325424,0.132129,0.296459,0.181152,0.222112,0.3744
deformable_handling,embodiment_mismatch,contact_tail_shift,0.08,0.56,0.549504,0.5258,0.388461,0.35096,0.206378,0.409924,0.220032,0.27632,0.5328
deformable_handling,embodiment_mismatch,embodiment_shift,0.08,0.6,0.424224,0.420181,0.61927,0.367984,0.214368,0.42784,0.231696,0.296032,0.5472
deformable_handling,embodiment_mismatch,shortcut_shift,0.08,0.56,0.420336,0.415598,0.410099,0.491408,0.204429,0.39798,0.220032,0.37488,0.5328
deformable_handling,embodiment_mismatch,recovery_scarcity,0.08,0.62,0.482328,0.470387,0.460589,0.39352,0.234441,0.535333,0.247248,0.310816,0.5544
deformable_handling,embodiment_mismatch,cross_robot_morphology,0.08,0.66,0.458136,0.451013,0.633696,0.402032,0.223917,0.439783,0.293904,0.320672,0.5688
deformable_handling,embodiment_mismatch,heldout_exception_composition,0.08,0.74,0.527688,0.512884,0.554355,0.461616,0.240872,0.481586,0.30168,0.389664,0.5976
deformable_handling,embodiment_mismatch,combined_exception_stress,0.08,0.86,0.573048,0.555381,0.597632,0.482896,0.262893,0.523389,0.325008,0.409376,0.6408
deformable_handling,long_horizon_compounding,nominal_scaling,0.08,0.12,0.343232,0.259641,0.154291,0.304432,0.289425,0.401654,0.241536,0.20192,0.3536
deformable_handling,long_horizon_compounding,contact_tail_shift,0.08,0.56,0.630912,0.457955,0.177341,0.32728,0.452066,0.555381,0.293376,0.2512,0.5032
deformable_handling,long_horizon_compounding,embodiment_shift,0.08,0.6,0.487072,0.365964,0.28271,0.342512,0.469568,0.579654,0.308928,0.26912,0.5168
deformable_handling,long_horizon_compounding,shortcut_shift,0.08,0.56,0.482608,0.361973,0.187219,0.452944,0.447797,0.539199,0.293376,0.3408,0.5032
deformable_handling,long_horizon_compounding,recovery_scarcity,0.08,0.62,0.553784,0.409692,0.210269,0.36536,0.513537,0.72529,0.329664,0.28256,0.5236
deformable_handling,long_horizon_compounding,cross_robot_morphology,0.08,0.66,0.526008,0.392818,0.289296,0.372976,0.490485,0.595836,0.391872,0.29152,0.5372
deformable_handling,long_horizon_compounding,heldout_exception_composition,0.08,0.74,0.605864,0.446705,0.253075,0.426288,0.527624,0.652472,0.40224,0.35424,0.5644
deformable_handling,long_horizon_compounding,combined_exception_stress,0.08,0.86,0.657944,0.483719,0.272832,0.445328,0.575861,0.709108,0.433344,0.37216,0.6052
deformable_handling,spurious_visual_shortcut,nominal_scaling,0.08,0.12,0.287872,0.163477,0.13225,0.619312,0.13842,0.219954,0.140896,0.35336,0.2912
deformable_handling,spurious_visual_shortcut,contact_tail_shift,0.08,0.56,0.529152,0.288342,0.152006,0.68248,0.216205,0.304137,0.171136,0.4396,0.4144
deformable_handling,spurious_visual_shortcut,embodiment_shift,0.08,0.6,0.408512,0.230422,0.242323,0.724592,0.224576,0.317429,0.180208,0.47096,0.4256
deformable_handling,spurious_visual_shortcut,shortcut_shift,0.08,0.56,0.404768,0.227909,0.160474,1.029904,0.214164,0.295276,0.171136,0.5964,0.4144
deformable_handling,spurious_visual_shortcut,recovery_scarcity,0.08,0.62,0.464464,0.257954,0.18023,0.78776,0.245604,0.397182,0.192304,0.49448,0.4312
deformable_handling,spurious_visual_shortcut,cross_robot_morphology,0.08,0.66,0.441168,0.24733,0.247968,0.808816,0.23458,0.326291,0.228592,0.51016,0.4424
deformable_handling,spurious_visual_shortcut,heldout_exception_composition,0.08,0.74,0.508144,0.281259,0.216922,0.956208,0.252342,0.357306,0.23464,0.61992,0.4648
deformable_handling,spurious_visual_shortcut,combined_exception_stress,0.08,0.86,0.551824,0.304564,0.233856,1.008848,0.275412,0.388321,0.252784,0.65128,0.4984
deformable_handling,recovery_scarce_failure,nominal_scaling,0.08,0.12,0.398592,0.326955,0.18368,0.33592,0.232798,0.44947,0.211344,0.232208,0.4056
deformable_handling,recovery_scarce_failure,contact_tail_shift,0.08,0.56,0.732672,0.576684,0.21112,0.3628,0.363618,0.621498,0.256704,0.28888,0.5772
deformable_handling,recovery_scarce_failure,embodiment_shift,0.08,0.6,0.565632,0.460844,0.33656,0.38072,0.377696,0.64866,0.270312,0.309488,0.5928
deformable_handling,recovery_scarce_failure,shortcut_shift,0.08,0.56,0.560448,0.455818,0.22288,0.51064,0.360185,0.60339,0.256704,0.39192,0.5772
deformable_handling,recovery_scarce_failure,recovery_scarcity,0.08,0.62,0.643104,0.515908,0.25032,0.4076,0.413062,0.811634,0.288456,0.324944,0.6006
deformable_handling,recovery_scarce_failure,cross_robot_morphology,0.08,0.66,0.610848,0.494659,0.3444,0.41656,0.394521,0.666768,0.342888,0.335248,0.6162
deformable_handling,recovery_scarce_failure,heldout_exception_composition,0.08,0.74,0.703584,0.562518,0.30128,0.47928,0.424393,0.730147,0.35196,0.407376,0.6474
deformable_handling,recovery_scarce_failure,combined_exception_stress,0.08,0.86,0.764064,0.609128,0.3248,0.50168,0.463193,0.793525,0.379176,0.427984,0.6942
deformable_handling,distribution_mixture_aliasing,nominal_scaling,0.08,0.12,0.365376,0.259641,0.198374,0.535344,0.188755,0.334712,0.20128,0.474512,0.364
deformable_handling,distribution_mixture_aliasing,contact_tail_shift,0.08,0.56,0.671616,0.457955,0.22801,0.58776,0.294826,0.462818,0.24448,0.59032,0.518
deformable_handling,distribution_mixture_aliasing,embodiment_shift,0.08,0.6,0.518496,0.365964,0.363485,0.622704,0.30624,0.483045,0.25744,0.632432,0.532
deformable_handling,distribution_mixture_aliasing,shortcut_shift,0.08,0.56,0.513744,0.361973,0.24071,0.876048,0.292042,0.449333,0.24448,0.80088,0.518
deformable_handling,distribution_mixture_aliasing,recovery_scarcity,0.08,0.62,0.589512,0.409692,0.270346,0.67512,0.334915,0.604408,0.27472,0.664016,0.539
deformable_handling,distribution_mixture_aliasing,cross_robot_morphology,0.08,0.66,0.559944,0.392818,0.371952,0.692592,0.319882,0.49653,0.32656,0.685072,0.553
deformable_handling,distribution_mixture_aliasing,heldout_exception_composition,0.08,0.74,0.644952,0.446705,0.325382,0.814896,0.344102,0.543726,0.3352,0.832464,0.581
deformable_handling,distribution_mixture_aliasing,combined_exception_stress,0.08,0.86,0.700392,0.483719,0.350784,0.858576,0.375562,0.590923,0.36112,0.874576,0.623
deformable_handling,actuator_latency_shift,nominal_scaling,0.08,0.12,0.321088,0.375036,0.257152,0.304432,0.207631,0.315586,0.462944,0.212016,0.3952
deformable_handling,actuator_latency_shift,contact_tail_shift,0.08,0.56,0.590208,0.66149,0.295568,0.32728,0.324308,0.436371,0.562304,0.26376,0.5624
deformable_handling,actuator_latency_shift,embodiment_shift,0.08,0.6,0.455648,0.528615,0.471184,0.342512,0.336864,0.455442,0.592112,0.282576,0.5776
deformable_handling,actuator_latency_shift,shortcut_shift,0.08,0.56,0.451472,0.52285,0.312032,0.452944,0.321246,0.423657,0.562304,0.35784,0.5624
deformable_handling,actuator_latency_shift,recovery_scarcity,0.08,0.62,0.518056,0.591777,0.350448,0.36536,0.368407,0.56987,0.631856,0.296688,0.5852
deformable_handling,actuator_latency_shift,cross_robot_morphology,0.08,0.66,0.492072,0.567403,0.48216,0.372976,0.35187,0.468156,0.751088,0.306096,0.6004
deformable_handling,actuator_latency_shift,heldout_exception_composition,0.08,0.74,0.566776,0.645241,0.421792,0.426288,0.378513,0.512656,0.77096,0.371952,0.6308
deformable_handling,actuator_latency_shift,combined_exception_stress,0.08,0.86,0.615496,0.698705,0.45472,0.445328,0.413118,0.557156,0.830576,0.390768,0.6764
deformable_handling,mixed_exception_stress,nominal_scaling,0.08,0.12,0.487168,0.403885,0.293888,0.556336,0.270549,0.420781,0.412624,0.424032,0.468
deformable_handling,mixed_exception_stress,contact_tail_shift,0.08,0.56,0.895488,0.712374,0.337792,0.61144,0.422583,0.581828,0.501184,0.52752,0.666
deformable_handling,mixed_exception_stress,embodiment_shift,0.08,0.6,0.691328,0.569278,0.538496,0.648176,0.438944,0.607256,0.527752,0.565152,0.684
deformable_handling,mixed_exception_stress,shortcut_shift,0.08,0.56,0.684992,0.563069,0.356608,0.914512,0.418593,0.564876,0.501184,0.71568,0.666
deformable_handling,mixed_exception_stress,recovery_scarcity,0.08,0.62,0.786016,0.637298,0.400512,0.70328,0.480045,0.759827,0.563176,0.593376,0.693
deformable_handling,mixed_exception_stress,cross_robot_morphology,0.08,0.66,0.746592,0.61105,0.55104,0.721648,0.458497,0.624209,0.669448,0.612192,0.711
deformable_handling,mixed_exception_stress,heldout_exception_composition,0.08,0.74,0.859936,0.694875,0.482048,0.850224,0.493213,0.683542,0.68716,0.743904,0.747
deformable_handling,mixed_exception_stress,combined_exception_stress,0.08,0.86,0.933856,0.752452,0.51968,0.896144,0.538305,0.742875,0.740296,0.781536,0.801
mobile_manipulation,rare_contact_tail,nominal_scaling,0.072,0.12,0.509312,0.309096,0.129101,0.25616,0.173134,0.232186,0.130832,0.111056,0.416
mobile_manipulation,rare_contact_tail,contact_tail_shift,0.072,0.56,0.936192,0.545184,0.148387,0.2696,0.270426,0.321051,0.158912,0.13816,0.592
mobile_manipulation,rare_contact_tail,embodiment_shift,0.072,0.6,0.722752,0.435672,0.236554,0.27856,0.280896,0.335082,0.167336,0.148016,0.608
mobile_manipulation,rare_contact_tail,shortcut_shift,0.072,0.56,0.716128,0.43092,0.156653,0.34352,0.267873,0.311697,0.158912,0.18744,0.592
mobile_manipulation,rare_contact_tail,recovery_scarcity,0.072,0.62,0.821744,0.487728,0.175939,0.292,0.307198,0.41927,0.178568,0.155408,0.616
mobile_manipulation,rare_contact_tail,cross_robot_morphology,0.072,0.66,0.780528,0.46764,0.242064,0.29648,0.293409,0.344436,0.212264,0.160336,0.632
mobile_manipulation,rare_contact_tail,heldout_exception_composition,0.072,0.74,0.899024,0.531792,0.211757,0.32784,0.315625,0.377176,0.21788,0.194832,0.664
mobile_manipulation,rare_contact_tail,combined_exception_stress,0.072,0.86,0.976304,0.575856,0.228288,0.33904,0.344481,0.409916,0.234728,0.204688,0.712
mobile_manipulation,occluded_precondition,nominal_scaling,0.072,0.12,0.254656,0.164851,0.129101,0.350624,0.214356,0.192154,0.15096,0.181728,0.3016
mobile_manipulation,occluded_precondition,contact_tail_shift,0.072,0.56,0.468096,0.290765,0.148387,0.37616,0.334813,0.265697,0.18336,0.22608,0.4292
mobile_manipulation,occluded_precondition,embodiment_shift,0.072,0.6,0.361376,0.232358,0.236554,0.393184,0.347776,0.277309,0.19308,0.242208,0.4408
mobile_manipulation,occluded_precondition,shortcut_shift,0.072,0.56,0.358064,0.229824,0.156653,0.516608,0.331652,0.257956,0.18336,0.30672,0.4292
mobile_manipulation,occluded_precondition,recovery_scarcity,0.072,0.62,0.410872,0.260122,0.175939,0.41872,0.38034,0.346982,0.20604,0.254304,0.4466
mobile_manipulation,occluded_precondition,cross_robot_morphology,0.072,0.66,0.390264,0.249408,0.242064,0.427232,0.363268,0.285051,0.24492,0.262368,0.4582
mobile_manipulation,occluded_precondition,heldout_exception_composition,0.072,0.74,0.449512,0.283622,0.211757,0.486816,0.390774,0.312146,0.2514,0.318816,0.4814
mobile_manipulation,occluded_precondition,combined_exception_stress,0.072,0.86,0.488152,0.307123,0.228288,0.508096,0.4265,0.339241,0.27084,0.334944,0.5162
mobile_manipulation,embodiment_mismatch,nominal_scaling,0.072,0.12,0.298944,0.212933,0.395909,0.350624,0.173134,0.248198,0.181152,0.222112,0.3744
mobile_manipulation,embodiment_mismatch,contact_tail_shift,0.072,0.56,0.549504,0.375571,0.455054,0.37616,0.270426,0.343192,0.220032,0.27632,0.5328
mobile_manipulation,embodiment_mismatch,embodiment_shift,0.072,0.6,0.424224,0.30013,0.725431,0.393184,0.280896,0.358191,0.231696,0.296032,0.5472
mobile_manipulation,embodiment_mismatch,shortcut_shift,0.072,0.56,0.420336,0.296856,0.480402,0.516608,0.267873,0.333193,0.220032,0.37488,0.5328
mobile_manipulation,embodiment_mismatch,recovery_scarcity,0.072,0.62,0.482328,0.33599,0.539547,0.41872,0.307198,0.448186,0.247248,0.310816,0.5544
mobile_manipulation,embodiment_mismatch,cross_robot_morphology,0.072,0.66,0.458136,0.322152,0.74233,0.427232,0.293409,0.368191,0.293904,0.320672,0.5688
mobile_manipulation,embodiment_mismatch,heldout_exception_composition,0.072,0.74,0.527688,0.366346,0.649388,0.486816,0.315625,0.403188,0.30168,0.389664,0.5976
mobile_manipulation,embodiment_mismatch,combined_exception_stress,0.072,0.86,0.573048,0.396701,0.700083,0.508096,0.344481,0.438186,0.325008,0.409376,0.6408
mobile_manipulation,long_horizon_compounding,nominal_scaling,0.072,0.12,0.343232,0.185458,0.180741,0.329632,0.379246,0.336269,0.241536,0.20192,0.3536
mobile_manipulation,long_horizon_compounding,contact_tail_shift,0.072,0.56,0.630912,0.32711,0.207742,0.35248,0.592362,0.46497,0.293376,0.2512,0.5032
mobile_manipulation,long_horizon_compounding,embodiment_shift,0.072,0.6,0.487072,0.261403,0.331175,0.367712,0.615296,0.485292,0.308928,0.26912,0.5168
mobile_manipulation,long_horizon_compounding,shortcut_shift,0.072,0.56,0.482608,0.258552,0.219314,0.478144,0.586769,0.451423,0.293376,0.3408,0.5032
mobile_manipulation,long_horizon_compounding,recovery_scarcity,0.072,0.62,0.553784,0.292637,0.246315,0.39056,0.67291,0.607219,0.329664,0.28256,0.5236
mobile_manipulation,long_horizon_compounding,cross_robot_morphology,0.072,0.66,0.526008,0.280584,0.33889,0.398176,0.642705,0.498839,0.391872,0.29152,0.5372
mobile_manipulation,long_horizon_compounding,heldout_exception_composition,0.072,0.74,0.605864,0.319075,0.29646,0.451488,0.691369,0.546255,0.40224,0.35424,0.5644
