method,split,task,regime,seed,episodes,success,rare_failure_recall,contact_boundary_error,unsafe_commitment,overtrust_rate,recovery_success,tail_risk_rate,calibration_ece,intervention_cost,average_scaling_gain,boundary_risk_slope,scale_exception_gap,boundary_coverage,shortcut_reliance,morphology_transfer_gap,recoverability_deficit,regret_to_oracle,utility
small_behavior_clone,nominal_scaling,contact_insertion,spurious_visual_shortcut,6,6,0.333333,0.5,0.333333,0.0,0.0,0.333333,0.0,0.0,0.0,0.333333,0.333333,0.0,0.166667,0.0,0.0,0.166667,0.666667,0.398333
small_behavior_clone,nominal_scaling,contact_insertion,spurious_visual_shortcut,7,6,0.166667,0.166667,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.5,0.166667,0.0,0.166667,0.5,0.185
small_behavior_clone,nominal_scaling,contact_insertion,spurious_visual_shortcut,8,6,0.5,0.0,0.166667,0.166667,0.0,0.333333,0.0,0.0,0.166667,0.166667,0.666667,0.0,0.166667,0.166667,0.0,0.0,0.5,0.483333
small_behavior_clone,nominal_scaling,contact_insertion,spurious_visual_shortcut,9,6,0.666667,0.166667,0.166667,0.0,0.0,0.0,0.166667,0.0,0.0,0.333333,0.0,0.166667,0.333333,0.333333,0.0,0.0,0.166667,0.6725
small_behavior_clone,nominal_scaling,contact_insertion,recovery_scarce_failure,0,6,0.333333,0.5,0.166667,0.166667,0.0,0.5,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.666667,0.166667,0.166667,0.166667,0.666667,0.399167
small_behavior_clone,nominal_scaling,contact_insertion,recovery_scarce_failure,1,6,0.666667,0.166667,0.666667,0.166667,0.0,0.5,0.0,0.166667,0.0,0.166667,0.166667,0.0,0.0,0.166667,0.166667,0.166667,0.333333,0.6825
small_behavior_clone,nominal_scaling,contact_insertion,recovery_scarce_failure,2,6,0.333333,0.5,0.333333,0.166667,0.0,0.166667,0.0,0.0,0.166667,0.333333,0.5,0.0,0.5,0.0,0.333333,0.166667,0.666667,0.376667
small_behavior_clone,nominal_scaling,contact_insertion,recovery_scarce_failure,3,6,0.333333,0.333333,0.5,0.0,0.166667,0.166667,0.166667,0.333333,0.333333,0.166667,0.333333,0.166667,0.333333,0.0,0.0,0.166667,0.666667,0.311667
small_behavior_clone,nominal_scaling,contact_insertion,recovery_scarce_failure,4,6,0.333333,0.166667,0.166667,0.0,0.0,0.166667,0.5,0.166667,0.0,0.166667,0.0,0.166667,0.0,0.0,0.0,0.333333,0.666667,0.273333
small_behavior_clone,nominal_scaling,contact_insertion,recovery_scarce_failure,5,6,0.166667,0.0,0.166667,0.0,0.0,0.5,0.166667,0.0,0.166667,0.0,0.0,0.166667,0.5,0.166667,0.0,0.0,0.5,0.180833
small_behavior_clone,nominal_scaling,contact_insertion,recovery_scarce_failure,6,6,0.666667,0.333333,0.5,0.0,0.0,0.5,0.166667,0.166667,0.0,0.166667,0.166667,0.0,0.666667,0.166667,0.166667,0.0,0.333333,0.7575
small_behavior_clone,nominal_scaling,contact_insertion,recovery_scarce_failure,7,6,0.5,0.333333,0.333333,0.333333,0.166667,0.166667,0.166667,0.0,0.333333,0.0,0.166667,0.0,0.0,0.0,0.0,0.166667,0.0,0.44
small_behavior_clone,nominal_scaling,contact_insertion,recovery_scarce_failure,8,6,0.666667,0.166667,0.5,0.333333,0.166667,0.333333,0.166667,0.333333,0.0,0.0,0.333333,0.333333,0.333333,0.166667,0.333333,0.333333,0.166667,0.613333
small_behavior_clone,nominal_scaling,contact_insertion,recovery_scarce_failure,9,6,0.5,0.5,0.0,0.166667,0.0,0.5,0.0,0.333333,0.0,0.5,0.166667,0.0,0.0,0.166667,0.0,0.166667,0.5,0.545
small_behavior_clone,nominal_scaling,contact_insertion,distribution_mixture_aliasing,0,6,0.333333,0.166667,0.333333,0.0,0.0,0.333333,0.333333,0.166667,0.333333,0.0,0.5,0.166667,0.0,0.0,0.0,0.166667,0.333333,0.294167
small_behavior_clone,nominal_scaling,contact_insertion,distribution_mixture_aliasing,1,6,0.5,0.333333,0.5,0.166667,0.0,0.0,0.0,0.166667,0.333333,0.166667,0.166667,0.0,0.0,0.0,0.166667,0.0,0.5,0.4725
small_behavior_clone,nominal_scaling,contact_insertion,distribution_mixture_aliasing,2,6,0.166667,0.5,0.333333,0.166667,0.166667,0.166667,0.666667,0.0,0.333333,0.0,0.166667,0.0,0.333333,0.0,0.0,0.0,0.666667,0.098333
small_behavior_clone,nominal_scaling,contact_insertion,distribution_mixture_aliasing,3,6,0.5,0.166667,0.333333,0.0,0.166667,0.333333,0.166667,0.166667,0.333333,0.0,0.333333,0.166667,0.166667,0.166667,0.0,0.0,0.333333,0.471667
small_behavior_clone,nominal_scaling,contact_insertion,distribution_mixture_aliasing,4,6,0.333333,0.166667,0.333333,0.0,0.0,0.333333,0.333333,0.0,0.166667,0.333333,0.5,0.166667,0.166667,0.166667,0.166667,0.0,0.666667,0.305
small_behavior_clone,nominal_scaling,contact_insertion,distribution_mixture_aliasing,5,6,0.5,0.0,0.5,0.0,0.0,0.166667,0.166667,0.0,0.333333,0.166667,0.5,0.333333,0.166667,0.166667,0.166667,0.0,0.166667,0.454167
small_behavior_clone,nominal_scaling,contact_insertion,distribution_mixture_aliasing,6,6,0.166667,0.333333,0.333333,0.0,0.166667,0.333333,0.166667,0.166667,0.0,0.0,0.333333,0.166667,0.0,0.333333,0.0,0.0,0.5,0.1575
small_behavior_clone,nominal_scaling,contact_insertion,distribution_mixture_aliasing,7,6,0.833333,0.333333,0.166667,0.0,0.0,0.333333,0.166667,0.0,0.166667,0.0,0.333333,0.333333,0.166667,0.166667,0.0,0.0,0.0,0.85
small_behavior_clone,nominal_scaling,contact_insertion,distribution_mixture_aliasing,8,6,0.166667,0.166667,0.333333,0.166667,0.0,0.0,0.166667,0.166667,0.166667,0.333333,0.0,0.166667,0.166667,0.166667,0.166667,0.0,0.666667,0.1075
small_behavior_clone,nominal_scaling,contact_insertion,distribution_mixture_aliasing,9,6,0.5,0.0,0.333333,0.166667,0.166667,0.166667,0.0,0.166667,0.166667,0.333333,0.333333,0.0,0.5,0.166667,0.166667,0.0,0.333333,0.483333
small_behavior_clone,nominal_scaling,contact_insertion,actuator_latency_shift,0,6,0.166667,0.166667,0.333333,0.166667,0.0,0.166667,0.166667,0.333333,0.333333,0.0,0.166667,0.0,0.5,0.5,0.166667,0.0,0.833333,0.141667
small_behavior_clone,nominal_scaling,contact_insertion,actuator_latency_shift,1,6,0.5,0.166667,0.333333,0.166667,0.166667,0.166667,0.333333,0.0,0.333333,0.0,0.166667,0.0,0.0,0.0,0.0,0.166667,0.333333,0.418333
small_behavior_clone,nominal_scaling,contact_insertion,actuator_latency_shift,2,6,0.666667,0.5,0.5,0.0,0.166667,0.5,0.333333,0.0,0.333333,0.166667,0.0,0.333333,0.0,0.166667,0.0,0.166667,0.333333,0.641667
small_behavior_clone,nominal_scaling,contact_insertion,actuator_latency_shift,3,6,0.5,0.5,0.333333,0.166667,0.0,0.166667,0.166667,0.0,0.166667,0.0,0.333333,0.0,0.166667,0.0,0.0,0.0,0.333333,0.5125
small_behavior_clone,nominal_scaling,contact_insertion,actuator_latency_shift,4,6,0.166667,0.5,0.5,0.0,0.166667,0.166667,0.166667,0.0,0.0,0.166667,0.166667,0.0,0.166667,0.166667,0.0,0.0,0.5,0.189167
small_behavior_clone,nominal_scaling,contact_insertion,actuator_latency_shift,5,6,0.166667,0.166667,0.5,0.166667,0.0,0.5,0.166667,0.0,0.0,0.0,0.5,0.0,0.333333,0.166667,0.0,0.0,0.5,0.184167
small_behavior_clone,nominal_scaling,contact_insertion,actuator_latency_shift,6,6,0.333333,0.166667,0.166667,0.166667,0.333333,0.5,0.0,0.166667,0.0,0.0,0.5,0.166667,0.0,0.166667,0.166667,0.166667,0.333333,0.2975
small_behavior_clone,nominal_scaling,contact_insertion,actuator_latency_shift,7,6,0.333333,0.166667,0.5,0.333333,0.333333,0.333333,0.0,0.0,0.166667,0.166667,0.166667,0.0,0.166667,0.0,0.0,0.333333,0.166667,0.2825
small_behavior_clone,nominal_scaling,contact_insertion,actuator_latency_shift,8,6,0.5,0.166667,0.666667,0.166667,0.0,0.0,0.166667,0.166667,0.0,0.0,0.833333,0.333333,0.333333,0.333333,0.0,0.0,0.5,0.455833
small_behavior_clone,nominal_scaling,contact_insertion,actuator_latency_shift,9,6,0.333333,0.5,0.333333,0.0,0.166667,0.666667,0.0,0.166667,0.166667,0.333333,0.5,0.0,0.666667,0.333333,0.166667,0.0,0.333333,0.441667
small_behavior_clone,nominal_scaling,contact_insertion,mixed_exception_stress,0,6,0.5,0.0,0.5,0.0,0.333333,0.166667,0.0,0.0,0.0,0.0,0.166667,0.5,0.0,0.166667,0.166667,0.0,0.5,0.415833
small_behavior_clone,nominal_scaling,contact_insertion,mixed_exception_stress,1,6,0.333333,0.0,0.333333,0.0,0.0,0.666667,0.166667,0.0,0.166667,0.166667,0.5,0.0,0.333333,0.166667,0.0,0.0,0.5,0.36
small_behavior_clone,nominal_scaling,contact_insertion,mixed_exception_stress,2,6,0.166667,0.0,0.333333,0.166667,0.0,0.0,0.0,0.166667,0.333333,0.0,0.5,0.166667,0.166667,0.5,0.0,0.166667,0.666667,0.0975
small_behavior_clone,nominal_scaling,contact_insertion,mixed_exception_stress,3,6,0.0,0.5,0.5,0.333333,0.166667,0.0,0.166667,0.0,0.0,0.333333,0.833333,0.166667,0.333333,0.166667,0.0,0.0,0.833333,0.0
small_behavior_clone,nominal_scaling,contact_insertion,mixed_exception_stress,4,6,0.333333,0.5,0.5,0.166667,0.0,0.166667,0.166667,0.166667,0.0,0.166667,0.666667,0.5,0.166667,0.0,0.166667,0.166667,0.666667,0.304167
small_behavior_clone,nominal_scaling,contact_insertion,mixed_exception_stress,5,6,0.5,0.166667,0.333333,0.333333,0.166667,0.0,0.166667,0.5,0.0,0.0,0.166667,0.0,0.0,0.166667,0.166667,0.333333,0.333333,0.419167
small_behavior_clone,nominal_scaling,contact_insertion,mixed_exception_stress,6,6,0.5,0.333333,0.333333,0.0,0.333333,0.333333,0.0,0.0,0.166667,0.166667,0.5,0.333333,0.166667,0.0,0.166667,0.333333,0.333333,0.484167
small_behavior_clone,nominal_scaling,contact_insertion,mixed_exception_stress,7,6,0.166667,0.166667,0.333333,0.166667,0.166667,0.333333,0.333333,0.0,0.0,0.166667,0.0,0.166667,0.0,0.166667,0.166667,0.0,0.833333,0.085833
small_behavior_clone,nominal_scaling,contact_insertion,mixed_exception_stress,8,6,0.5,0.166667,0.333333,0.166667,0.166667,0.0,0.333333,0.0,0.0,0.0,0.166667,0.0,0.166667,0.166667,0.333333,0.166667,0.166667,0.445
small_behavior_clone,nominal_scaling,contact_insertion,mixed_exception_stress,9,6,0.666667,0.5,0.166667,0.166667,0.166667,0.166667,0.166667,0.0,0.166667,0.0,0.666667,0.166667,0.0,0.166667,0.0,0.0,0.0,0.645833
small_behavior_clone,nominal_scaling,deformable_handling,rare_contact_tail,0,6,0.166667,0.166667,0.0,0.0,0.166667,0.5,0.0,0.166667,0.333333,0.333333,0.666667,0.333333,0.0,0.0,0.0,0.166667,0.666667,0.13
small_behavior_clone,nominal_scaling,deformable_handling,rare_contact_tail,1,6,0.333333,0.333333,0.166667,0.166667,0.166667,0.666667,0.166667,0.0,0.333333,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.333333,0.666667,0.309167
small_behavior_clone,nominal_scaling,deformable_handling,rare_contact_tail,2,6,0.666667,0.0,0.333333,0.166667,0.0,0.166667,0.0,0.0,0.333333,0.0,0.166667,0.333333,0.666667,0.0,0.0,0.0,0.0,0.656667
small_behavior_clone,nominal_scaling,deformable_handling,rare_contact_tail,3,6,0.5,0.333333,0.333333,0.166667,0.166667,0.333333,0.166667,0.0,0.5,0.166667,0.166667,0.5,0.166667,0.166667,0.166667,0.0,0.333333,0.4275
small_behavior_clone,nominal_scaling,deformable_handling,rare_contact_tail,4,6,0.666667,0.166667,0.166667,0.166667,0.0,0.166667,0.333333,0.5,0.0,0.0,0.666667,0.166667,0.333333,0.166667,0.0,0.0,0.0,0.6475
small_behavior_clone,nominal_scaling,deformable_handling,rare_contact_tail,5,6,0.333333,0.5,0.333333,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.333333,0.0,0.333333,0.0,0.0,0.5,0.333333,0.364167
small_behavior_clone,nominal_scaling,deformable_handling,rare_contact_tail,6,6,0.666667,0.0,0.5,0.0,0.166667,0.5,0.0,0.166667,0.0,0.166667,0.333333,0.5,0.666667,0.0,0.166667,0.0,0.0,0.6925
small_behavior_clone,nominal_scaling,deformable_handling,rare_contact_tail,7,6,0.333333,0.166667,0.333333,0.166667,0.0,0.166667,0.0,0.166667,0.0,0.166667,0.333333,0.166667,0.5,0.0,0.0,0.0,0.5,0.344167
small_behavior_clone,nominal_scaling,deformable_handling,rare_contact_tail,8,6,0.666667,0.166667,0.0,0.333333,0.0,0.166667,0.166667,0.166667,0.0,0.166667,0.0,0.0,0.166667,0.5,0.0,0.333333,0.0,0.640833
small_behavior_clone,nominal_scaling,deformable_handling,rare_contact_tail,9,6,0.166667,0.166667,0.333333,0.0,0.0,0.166667,0.166667,0.333333,0.0,0.0,0.5,0.0,0.166667,0.0,0.0,0.0,0.833333,0.161667
small_behavior_clone,nominal_scaling,deformable_handling,occluded_precondition,0,6,0.333333,0.5,0.333333,0.0,0.166667,0.333333,0.166667,0.0,0.333333,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.333333,0.34
small_behavior_clone,nominal_scaling,deformable_handling,occluded_precondition,1,6,0.333333,0.0,0.5,0.166667,0.0,0.166667,0.333333,0.0,0.166667,0.0,0.333333,0.0,0.666667,0.166667,0.0,0.166667,0.333333,0.313333
small_behavior_clone,nominal_scaling,deformable_handling,occluded_precondition,2,6,0.5,0.166667,0.166667,0.333333,0.166667,0.333333,0.333333,0.166667,0.166667,0.166667,0.0,0.0,0.166667,0.333333,0.0,0.166667,0.166667,0.433333
small_behavior_clone,nominal_scaling,deformable_handling,occluded_precondition,3,6,0.666667,0.333333,0.666667,0.0,0.0,0.166667,0.166667,0.0,0.166667,0.0,0.166667,0.166667,0.166667,0.0,0.0,0.0,0.166667,0.679167
small_behavior_clone,nominal_scaling,deformable_handling,occluded_precondition,4,6,0.333333,0.166667,0.0,0.0,0.0,0.333333,0.166667,0.166667,0.333333,0.166667,0.333333,0.166667,0.166667,0.166667,0.166667,0.0,0.333333,0.324167
small_behavior_clone,nominal_scaling,deformable_handling,occluded_precondition,5,6,0.333333,0.166667,0.333333,0.333333,0.166667,0.166667,0.0,0.0,0.166667,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.666667,0.285
small_behavior_clone,nominal_scaling,deformable_handling,occluded_precondition,6,6,0.5,0.166667,0.166667,0.166667,0.166667,0.0,0.166667,0.166667,0.0,0.0,0.0,0.0,0.333333,0.166667,0.0,0.0,0.166667,0.475
small_behavior_clone,nominal_scaling,deformable_handling,occluded_precondition,7,6,0.333333,0.333333,0.333333,0.166667,0.166667,0.5,0.0,0.166667,0.166667,0.166667,0.333333,0.166667,0.166667,0.166667,0.166667,0.0,0.333333,0.336667
small_behavior_clone,nominal_scaling,deformable_handling,occluded_precondition,8,6,0.5,0.166667,0.0,0.333333,0.0,0.5,0.166667,0.333333,0.166667,0.333333,0.166667,0.166667,0.0,0.333333,0.0,0.0,0.333333,0.45
small_behavior_clone,nominal_scaling,deformable_handling,occluded_precondition,9,6,0.333333,0.166667,0.666667,0.166667,0.166667,0.333333,0.166667,0.0,0.0,0.166667,0.333333,0.166667,0.166667,0.0,0.166667,0.0,0.5,0.294167
small_behavior_clone,nominal_scaling,deformable_handling,embodiment_mismatch,0,6,0.166667,0.0,0.166667,0.333333,0.166667,0.0,0.166667,0.0,0.333333,0.166667,0.5,0.0,0.333333,0.0,0.0,0.0,0.5,0.0675
small_behavior_clone,nominal_scaling,deformable_handling,embodiment_mismatch,1,6,0.666667,0.166667,0.166667,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.166667,0.0,0.333333,0.0,0.166667,0.0,0.166667,0.715
small_behavior_clone,nominal_scaling,deformable_handling,embodiment_mismatch,2,6,0.166667,0.166667,0.0,0.0,0.166667,0.5,0.166667,0.0,0.0,0.5,0.0,0.166667,0.166667,0.0,0.166667,0.166667,0.5,0.164167
